"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Annie_Cordy","Annie Cordy",1928-06-16,"female","http://dbpedia.org/resource/The_Breach_(film)"
"http://dbpedia.org/resource/Annie_Cordy","Annie Cordy","1928-6-16","female","http://dbpedia.org/resource/The_Breach_(film)"
"http://dbpedia.org/resource/Bata_Paskaljević","Bata Paskaljević","1923-1-14","male","http://dbpedia.org/resource/The_Magic_Sword_(1950_film)"
"http://dbpedia.org/resource/Noomi_Rapace","Noomi Rapace",1979-12-28,"female","http://dbpedia.org/resource/The_Price_(2016_film)"
"http://dbpedia.org/resource/Ray_Liotta","Ray Liotta",1954-12-18,"male","http://dbpedia.org/resource/The_Rat_Pack_(film)"
"http://dbpedia.org/resource/Talia_Balsam","Talia Balsam",1959-03-05,"female","http://dbpedia.org/resource/The_Kindred_(film)"
"http://dbpedia.org/resource/Talia_Balsam","Talia Balsam","1959-3-5","female","http://dbpedia.org/resource/The_Kindred_(film)"
"http://dbpedia.org/resource/Stephen_Boyd","Stephen Boyd",1931-07-04,"male","http://dbpedia.org/resource/The_Big_Game_(1972_film)"
"http://dbpedia.org/resource/Stephen_Boyd","Stephen Boyd","1931-7-4","male","http://dbpedia.org/resource/The_Big_Game_(1972_film)"
"http://dbpedia.org/resource/Don_Ameche","Don Ameche",1908-05-31,"male","http://dbpedia.org/resource/Swanee_River_(film)"
"http://dbpedia.org/resource/Don_Ameche","Don Ameche","1908-5-31","male","http://dbpedia.org/resource/Swanee_River_(film)"
"http://dbpedia.org/resource/Jim_Caviezel","Jim Caviezel",1968-09-26,"male","http://dbpedia.org/resource/The_Final_Cut_(2004_film)"
"http://dbpedia.org/resource/Jim_Caviezel","Jim Caviezel","1968-9-26","male","http://dbpedia.org/resource/The_Final_Cut_(2004_film)"
"http://dbpedia.org/resource/Jing_Tian","Jing Tian","1989-7-21","female","http://dbpedia.org/resource/The_Great_Wall_(film)"
"http://dbpedia.org/resource/Jing_Tian","Jǐng tián","1989-7-21","female","http://dbpedia.org/resource/The_Great_Wall_(film)"
"http://dbpedia.org/resource/Jing_Tian","景甜","1989-7-21","female","http://dbpedia.org/resource/The_Great_Wall_(film)"
"http://dbpedia.org/resource/Joan_Allen","Joan Allen",1956-08-20,"female","http://dbpedia.org/resource/The_Contender_(2000_film)"
"http://dbpedia.org/resource/Joan_Allen","Joan Allen","1956-8-20","female","http://dbpedia.org/resource/The_Contender_(2000_film)"
"http://dbpedia.org/resource/Markus_Boysen","Markus Boysen","1954-9-3","male","http://dbpedia.org/resource/The_Journey_(1986_film)"
"http://dbpedia.org/resource/Andrea_Roth","Andrea Roth",1967-09-30,"female","http://dbpedia.org/resource/The_Collector_(2009_film)"
"http://dbpedia.org/resource/Andrea_Roth","Andrea Roth","1967-9-30","female","http://dbpedia.org/resource/The_Collector_(2009_film)"
"http://dbpedia.org/resource/Cliff_Norton","Cliff Norton",1918-03-21,"male","http://dbpedia.org/resource/The_Phantom_Tollbooth_(film)"
"http://dbpedia.org/resource/Cliff_Norton","Cliff Norton","1918-3-21","male","http://dbpedia.org/resource/The_Phantom_Tollbooth_(film)"
"http://dbpedia.org/resource/Laura_Harrington","Laura Harrington",1958-04-29,"female","http://dbpedia.org/resource/The_Secret_(1992_film)"
"http://dbpedia.org/resource/Laura_Harrington","Laura Harrington","1958-4-29","female","http://dbpedia.org/resource/The_Secret_(1992_film)"
"http://dbpedia.org/resource/Luc_Picard","Luc Picard","1961-9-24","male","http://dbpedia.org/resource/The_Collector_(2002_film)"
"http://dbpedia.org/resource/Nikolaj_Lie_Kaas","Nikolaj Lie Kaas",1973-05-22,"male","http://dbpedia.org/resource/The_Candidate_(2008_film)"
"http://dbpedia.org/resource/Nikolaj_Lie_Kaas","Nikolaj Lie Kaas","1973-5-22","male","http://dbpedia.org/resource/The_Candidate_(2008_film)"
"http://dbpedia.org/resource/Scott_Cleverdon","Scott Cleverdon",1969-07-31,"male","http://dbpedia.org/resource/The_Amazing_Grace"
"http://dbpedia.org/resource/Scott_Cleverdon","Scott Cleverdon","1969-7-31","male","http://dbpedia.org/resource/The_Amazing_Grace"
"http://dbpedia.org/resource/Sophina_Brown","Sophina Brown",1976-09-18,"female","http://dbpedia.org/resource/Synapse_(film)"
"http://dbpedia.org/resource/Sophina_Brown","Sophina Brown","1976-9-18","female","http://dbpedia.org/resource/Synapse_(film)"
"http://dbpedia.org/resource/Gabriella_Giorgelli","Gabriella Giorgelli",1941-07-29,"female","http://dbpedia.org/resource/The_Organizer"
"http://dbpedia.org/resource/Gabriella_Giorgelli","Gabriella Giorgelli","1941-7-29","female","http://dbpedia.org/resource/The_Organizer"
"http://dbpedia.org/resource/Jeevan_(actor)","Jeevan",1915-10-24,"male","http://dbpedia.org/resource/Tarana_(1951_film)"
"http://dbpedia.org/resource/Folco_Lulli","Folco Lulli",1912-07-03,"male","http://dbpedia.org/resource/The_Organizer"
"http://dbpedia.org/resource/Folco_Lulli","Folco Lulli","1912-7-3","male","http://dbpedia.org/resource/The_Organizer"
"http://dbpedia.org/resource/Nikolay_Olyalin","Nikolay Olyalin",1941-05-22,"male","http://dbpedia.org/resource/The_Outskirts_(1998_film)"
"http://dbpedia.org/resource/Nikolay_Olyalin","Nikolay Olyalin","1941-5-22","male","http://dbpedia.org/resource/The_Outskirts_(1998_film)"
"http://dbpedia.org/resource/Teddy_Arundell","Teddy Arundell","1873-1-1","male","http://dbpedia.org/resource/The_River_of_Stars_(film)"
"http://dbpedia.org/resource/Álex_García_(actor)","Álex García",1981-11-14,"male","http://dbpedia.org/resource/The_Bride_(2015_film)"
"http://dbpedia.org/resource/Thurlow_Bergen","Thurlow Bergen","1875-1-14","male","http://dbpedia.org/resource/The_City_(1916_film)"
"http://dbpedia.org/resource/Allen_Doone","Allen Doone","1878-9-3","male","http://dbpedia.org/resource/The_Rebel_(1915_film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn",1915-04-21,"male","http://dbpedia.org/resource/The_Visit_(1964_film)"
