"f","fname","dir","music","writer","country","lang"
"http://dbpedia.org/resource/The_Big_Fisherman","The Big Fisherman","http://dbpedia.org/resource/Frank_Borzage","http://dbpedia.org/resource/Albert_Hay_Malotte","http://dbpedia.org/resource/Rowland_V._Lee","United States","English"
"http://dbpedia.org/resource/The_Big_Fisherman","The Big Fisherman","http://dbpedia.org/resource/Frank_Borzage","http://dbpedia.org/resource/Albert_Hay_Malotte","http://dbpedia.org/resource/Howard_Estabrook","United States","English"
"http://dbpedia.org/resource/The_Breakfast_Club","The Breakfast Club","http://dbpedia.org/resource/John_Hughes_(filmmaker)","http://dbpedia.org/resource/Keith_Forsey","http://dbpedia.org/resource/John_Hughes_(filmmaker)","United States","English"
"http://dbpedia.org/resource/The_Breakfast_Club","The Breakfast Club","http://dbpedia.org/resource/John_Hughes_(filmmaker)","http://dbpedia.org/resource/Gary_Chang","http://dbpedia.org/resource/John_Hughes_(filmmaker)","United States","English"
"http://dbpedia.org/resource/The_Crying_Game","The Crying Game","http://dbpedia.org/resource/Neil_Jordan","http://dbpedia.org/resource/Anne_Dudley","http://dbpedia.org/resource/Neil_Jordan","Ireland","English"
"http://dbpedia.org/resource/The_Crying_Game","The Crying Game","http://dbpedia.org/resource/Neil_Jordan","http://dbpedia.org/resource/Anne_Dudley","http://dbpedia.org/resource/Neil_Jordan","Japan","English"
"http://dbpedia.org/resource/The_Crying_Game","The Crying Game","http://dbpedia.org/resource/Neil_Jordan","http://dbpedia.org/resource/Anne_Dudley","http://dbpedia.org/resource/Neil_Jordan","United Kingdom","English"
"http://dbpedia.org/resource/The_Graduate","The Graduate","http://dbpedia.org/resource/Mike_Nichols","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Buck_Henry","United States","English"
"http://dbpedia.org/resource/The_Graduate","The Graduate","http://dbpedia.org/resource/Mike_Nichols","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Calder_Willingham","United States","English"
"http://dbpedia.org/resource/The_Graduate","The Graduate","http://dbpedia.org/resource/Mike_Nichols","http://dbpedia.org/resource/Simon_and_Garfunkel","http://dbpedia.org/resource/Buck_Henry","United States","English"
"http://dbpedia.org/resource/The_Graduate","The Graduate","http://dbpedia.org/resource/Mike_Nichols","http://dbpedia.org/resource/Simon_and_Garfunkel","http://dbpedia.org/resource/Calder_Willingham","United States","English"
"http://dbpedia.org/resource/The_Great_Ziegfeld","The Great Ziegfeld","http://dbpedia.org/resource/Robert_Z._Leonard","http://dbpedia.org/resource/Harold_Adamson","http://dbpedia.org/resource/William_Anthony_McGuire","United States","English"
"http://dbpedia.org/resource/The_Great_Ziegfeld","The Great Ziegfeld","http://dbpedia.org/resource/Robert_Z._Leonard","http://dbpedia.org/resource/Walter_Donaldson","http://dbpedia.org/resource/William_Anthony_McGuire","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Nacio_Herb_Brown","http://dbpedia.org/resource/Robert_Hopkins_(screenwriter)","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Nacio_Herb_Brown","http://dbpedia.org/resource/Joseph_W._Farnham","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Nacio_Herb_Brown","http://dbpedia.org/resource/Al_Boasberg","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Gus_Edwards","http://dbpedia.org/resource/Robert_Hopkins_(screenwriter)","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Gus_Edwards","http://dbpedia.org/resource/Joseph_W._Farnham","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Gus_Edwards","http://dbpedia.org/resource/Al_Boasberg","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Arthur_Freed","http://dbpedia.org/resource/Robert_Hopkins_(screenwriter)","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Arthur_Freed","http://dbpedia.org/resource/Joseph_W._Farnham","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Arthur_Freed","http://dbpedia.org/resource/Al_Boasberg","United States","English"
"http://dbpedia.org/resource/The_Hollywood_Revue_of_1929","The Hollywood Revue of 1929","http://dbpedia.org/resource/Charles_Reisner","http://dbpedia.org/resource/Singin'_in_the_Rain_(song)","http://dbpedia.org/resource/Robert_Hopkins_(screenwriter)","United States","English"
