"w","writer","bdate","sexo","f"
"http://dbpedia.org/resource/Joseph_W._Farnham","Joseph W. Farnham",1884-12-02,"male","http://dbpedia.org/resource/Thunder_(film)"
"http://dbpedia.org/resource/Joseph_W._Farnham","Joseph W. Farnham","1884-12-2","male","http://dbpedia.org/resource/Thunder_(film)"
"http://dbpedia.org/resource/Joseph_W._Farnham","Joseph Farnham",1884-12-02,"male","http://dbpedia.org/resource/Thunder_(film)"
"http://dbpedia.org/resource/Joseph_W._Farnham","Joseph Farnham","1884-12-2","male","http://dbpedia.org/resource/Thunder_(film)"
"http://dbpedia.org/resource/Norman_Taurog","Norman Taurog",1899-02-23,"male","http://dbpedia.org/resource/The_Show_(1922_film)"
"http://dbpedia.org/resource/Norman_Taurog","Norman Taurog","1899-2-23","male","http://dbpedia.org/resource/The_Show_(1922_film)"
"http://dbpedia.org/resource/Steven_E._de_Souza","Steven E. de Souza",1947-11-17,"male","http://dbpedia.org/resource/Street_Fighter_(1994_film)"
"http://dbpedia.org/resource/Wong_Jing","Wong Jing","1955-5-3","male","http://dbpedia.org/resource/Those_Were_the_Days_(1997_film)"
"http://dbpedia.org/resource/Wong_Jing","Wong4 Zing1","1955-5-3","male","http://dbpedia.org/resource/Those_Were_the_Days_(1997_film)"
"http://dbpedia.org/resource/Wong_Jing","Wáng Jīng","1955-5-3","male","http://dbpedia.org/resource/Those_Were_the_Days_(1997_film)"
"http://dbpedia.org/resource/Wong_Jing","王晶","1955-5-3","male","http://dbpedia.org/resource/Those_Were_the_Days_(1997_film)"
"http://dbpedia.org/resource/Arnold_Drake","Arnold Drake","1924-3-1","male","http://dbpedia.org/resource/The_Flesh_Eaters_(film)"
"http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King",1954-09-14,"male","http://dbpedia.org/resource/Sex_and_the_City_(film)"
"http://dbpedia.org/resource/Michael_Patrick_King","Michael Patrick King","1954-9-14","male","http://dbpedia.org/resource/Sex_and_the_City_(film)"
"http://dbpedia.org/resource/Paul_Rotha","Paul Rotha","1907-6-3","male","http://dbpedia.org/resource/The_Fourth_Estate_(film)"
"http://dbpedia.org/resource/Tony_Gilroy","Tony Gilroy",1956-09-11,"male","http://dbpedia.org/resource/The_Great_Wall_(film)"
"http://dbpedia.org/resource/Tony_Gilroy","Tony Gilroy","1956-9-11","male","http://dbpedia.org/resource/The_Great_Wall_(film)"
"http://dbpedia.org/resource/Valerie_Curtin","Valerie Curtin",1945-03-31,"female","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Valerie_Curtin","Valerie Curtin","1945-3-31","female","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Charles_Kenyon","Charles Kenyon",1880-11-02,"male","http://dbpedia.org/resource/The_Golden_Arrow_(1936_film)"
